Customer ID	First Name	Last Name	Age	Phone Number	Monthly Salary	Approved Limit
1	Aaron	Garcia	63	9629317944	50000	4500000
2	Abbey	Gonzalez	20	9278790909	33000	1400000
3	Abbie	Rodrigues	47	9775988997	193000	2500000
4	Abby	Fernandez	60	9612343117	117000	2600000
5	Abdul	Lopez	40	9175345317	219000	1000000
6	Abe	Martinez	28	9763703492	129000	1900000
7	Abel	Sanchez	65	9878469188	73000	2600000
8	Abigail	Perez	20	9312500421	268000	2200000
9	Abraham	Gomez	29	9419749629	163000	3100000
10	Abram	Martin	37	9748307760	89000	1000000
